RK,WSID,Player Name,POS,AGE,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP
382,,Colby Parkinson (LAR),TE65,26,277,350,315.0,29.9,-
383,,Charlie Kolar (BAL),TE66,26,259,259,259.0,0.0,-
384,,Tommy Tremble (CAR),TE67,25,299,347,315.3,22.4,-
385,,Ja'Quinden Jackson (JAC),RB115,23,265,265,265.0,0.0,-
386,,Rasheen Ali (BAL),RB116,24,297,349,319.7,21.8,-
387,,Tyler Boyd (FA),WR154,30,295,318,306.5,11.5,-
388,,Rondale Moore (MIN),WR155,25,286,337,319.0,23.4,-
389,,Jamaal Pritchett (NYJ),WR156,-,283,283,283.0,0.0,-
390,,Josh Reynolds (NYJ),WR157,30,302,321,311.5,9.5,-
391,,Israel Abanikanda (SF),RB117,22,284,284,284.0,0.0,-
392,,Jake Briningstool (KC),TE68,22,306,319,312.5,6.5,-
393,,Emari Demercado (ARI),RB118,26,305,348,324.3,17.8,-
394,,D'Onta Foreman (FA),RB119,29,286,286,286.0,0.0,-
395,,Clyde Edwards-Helaire (NO),RB120,26,291,291,291.0,0.0,-
396,,Bub Means (NO),WR158,24,294,343,318.5,24.5,-
397,,Grant Calcaterra (PHI),TE69,26,304,331,317.5,13.5,-
398,,Kalif Raymond (DET),WR159,30,298,298,298.0,0.0,-
399,,Pierre Strong Jr. (CLE),RB121,26,298,298,298.0,0.0,-
400,,Konata Mumpfield (LAR),WR160,22,299,299,299.0,0.0,-
401,,Jamaal Williams (FA),RB122,30,300,300,300.0,0.0,-
402,,Harrison Bryant (PHI),TE70,27,300,300,300.0,0.0,-
403,,Jeff Wilson Jr. (FA),RB123,29,304,304,304.0,0.0,-
404,,Jamari Thrash (CLE),WR161,24,304,304,304.0,0.0,-
405,,Carson Steele (KC),RB124,22,309,309,309.0,0.0,-
406,,Moliki Matavao (NO),TE71,22,312,312,312.0,0.0,-
407,,Jaheim Bell (NE),TE72,24,313,359,336.0,23.0,-
408,,Brock Wright (DET),TE73,26,315,315,315.0,0.0,-
409,,Davis Allen (LAR),TE74,24,320,320,320.0,0.0,-
410,,Hayden Hurst (FA),TE75,31,322,322,322.0,0.0,-
411,,Dominic Lovett (DET),WR162,22,323,323,323.0,0.0,-
412,,Kylen Granson (PHI),TE76,27,328,365,346.5,18.5,-
413,,Josh Oliver (MIN),TE77,28,331,331,331.0,0.0,-
414,,JuJu Smith-Schuster (KC),WR163,28,336,362,349.0,13.0,-
415,,Van Jefferson (TEN),WR164,28,338,338,338.0,0.0,-
416,,Johnny Wilson (PHI),WR165,24,339,364,351.5,12.5,-
417,,Sione Vaki (DET),RB125,23,352,352,352.0,0.0,-
418,,Henry Ruggs III (FA),WR166,26,354,354,354.0,0.0,-
419,,Brenden Rice (LAC),WR167,23,355,355,355.0,0.0,-
420,,Patrick Carr (FA),RB126,29,358,358,358.0,0.0,-
421,,Elijah Higgins (ARI),TE78,24,360,360,360.0,0.0,-
422,,Robert Woods (PIT),WR168,33,366,366,366.0,0.0,-
423,,Josh Whyle (TEN),TE79,25,367,367,367.0,0.0,-
424,,Brevyn Spann-Ford (DAL),TE80,25,368,368,368.0,0.0,-
425,,Blake Watson (DEN),RB127,25,372,372,372.0,0.0,-
