"Rank","Player","Team","Bye","POS","AVG"
"232","Louis Rees-Zammit","JAC","12","RB75","248.0"
"233","Justin Tucker","","","K1","216.0"
"234","Miles Sanders","DAL","7","RB76","248.5"
"235","Odell Beckham Jr.","","","WR96","248.5"
"236","Harrison Butker","KC","6","K2","217.0"
"237","San Francisco 49ers","DST","9","DST1","218.0"
"238","Dallas Cowboys","DST","7","DST2","219.0"
"239","Samaje Perine","CIN","12","RB77","219.0"
"240","Jonnu Smith","PIT","9","TE34","220.0"
"241","Evan McPherson","CIN","12","K3","220.0"
"242","Jordan Whittington","LAR","6","WR97","221.0"
"243","Brandon Aubrey","DAL","7","K4","221.0"
"244","Younghoe Koo","ATL","12","K5","222.0"
"245","Trey Sermon","PIT","9","RB78","222.0"
"246","Jamaal Williams","","","RB79","251.5"
"247","Baltimore Ravens","DST","14","DST3","223.0"
"248","Buffalo Bills","DST","12","DST4","224.0"
"249","Demarcus Robinson","SF","9","WR98","252.5"
"250","Jake Elliott","PHI","5","K6","225.0"
"251","New York Jets","DST","12","DST5","226.0"
"252","Cameron Dicker","LAC","5","K7","227.0"
"253","Jake Moody","SF","9","K8","228.0"
"254","Tre Tucker","LV","10","WR99","228.0"
"255","Tyler Bass","BUF","12","K9","229.0"
"256","Ka'imi Fairbairn","HOU","14","K10","230.0"
"257","Jason Sanders","MIA","6","K11","231.0"
"258","Juwan Johnson","NO","12","TE35","231.0"
"259","Sione Vaki","DET","5","RB80","232.0"
"260","Eric Gray","NYG","11","RB81","256.5"
"261","Darius Slayton","NYG","11","WR100","233.0"
"262","Andrei Iosivas","CIN","12","WR101","257.0"
"263","Daniel Bellinger","NYG","11","TE36","235.0"
"264","Russell Wilson","NYG","11","QB30","258.5"
"265","Philadelphia Eagles","DST","5","DST6","239.0"
"266","Kendrick Bourne","NE","14","WR102","241.0"
"267","Spencer Rattler","NO","12","QB31","241.0"
"268","Pittsburgh Steelers","DST","9","DST7","243.0"
"269","Cedric Tillman","CLE","10","WR103","244.0"
"270","Dalvin Cook","","","RB82","246.0"
"271","Kansas City Chiefs","DST","6","DST8","247.0"
"272","Chris Rodriguez Jr.","WAS","14","RB83","249.0"
"273","Erick All Jr.","CIN","12 ","TE37","249.0"
"274","Anthony Gould","IND","14","WR104","250.0"
"275","Zay Jones","ARI","11","WR105","253.0"
"276","Dawson Knox","BUF","12","TE38","267.0"
"277","Alec Pierce","IND","14","WR106","272.0"
"278","Sam Darnold","SEA","10","QB32","254.0"
"279","Ainias Smith","PHI","5","WR107","275.0"
"280","Cleveland Browns","DST","10","DST9","256.0"
"281","Bo Melton","GB","10","WR108","257.0"
"282","Daniel Jones","IND","14","QB33","269.5"
"283","Johnny Wilson","PHI","5","WR109","272.5"
"284","Xavier Gipson","NYJ","12","WR110","259.0"
"285","Emari Demercado","ARI","11 ","RB84","260.0"
"286","Colby Parkinson","LAR","6","TE39","270.5"
"287","Denver Broncos","DST","14","DST10","261.0"
"288","Joe Milton III","DAL","7","QB34","261.0"
"289","JuJu Smith-Schuster","KC","6","WR111","262.0"
"290","Calvin Austin III","PIT","9","WR112","262.0"
"291","Daniel Carlson","LV","10","K12","263.0"
"292","Matt Gay","WAS","14","K13","264.0"
"293","Evan Hull","PIT","9","RB85","278.5"
"294","Kendall Milton","CIN","12","RB86","265.0"
"295","Noah Brown","WAS","14 ","WR113","266.0"
"296","Derek Carr","","","QB35","277.5"
"297","Ryan Flournoy","DAL","7","WR114","268.0"
"298","D'Onta Foreman","","","RB87","279.0"
"299","Hayden Hurst","","","TE40","269.0"
"300","Zach Ertz","WAS","14","TE41","270.0"
"301","New England Patriots","DST","14","DST11","271.0"
"302","Cornelius Johnson","GB","10","WR115","272.0"
"303","Jalen Coker","CAR","11","WR116","279.0"
"304","Tutu Atwell","LAR","6","WR117","273.0"
"305","Tip Reiman","ARI","11","TE42","273.0"
"306","Tampa Bay Buccaneers","DST","11","DST12","274.0"
"307","Jawhar Jordan","HOU","14","RB88","274.0"
"308","Cam Akers","NO","12","RB89","276.0"
"309","Green Bay Packers","DST","10","DST13","277.0"
"310","John Metchie III","HOU","14","WR118","278.0"
"311","Carson Steele","KC","6","RB90","278.0"
"312","Jacksonville Jaguars","DST","12","DST14","279.0"
"313","Dallin Holker","NO","12","TE43","279.0"
"314","K.J. Osborn","WAS","14","WR119","281.0"
"315","Jordan Travis","","","QB36","283.0"
"316","Bub Means","NO","12","WR120","284.0"
"317","Deuce Vaughn","DAL","7","RB91","285.0"
"318","Jaheim Bell","NE","14","TE44","289.0"
"319","Blake Watson","DEN","14","RB92","292.0"
"320","Trey Palmer","TB","11","WR121","294.0"
